report_short_name,report_long_name,report_url
Business Combinations - Additional Information (Detail),100540 - Disclosure - Business Combinations - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R55.htm
Major Classes of Assets and Liabilities Allocated Purchase Price (Detail),100550 - Disclosure - Major Classes of Assets and Liabilities Allocated Purchase Price (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R56.htm
Acquired Intangible Assets (Detail),100560 - Disclosure - Acquired Intangible Assets (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R57.htm
Carrying Amount of Goodwill (Detail),100570 - Disclosure - Carrying Amount of Goodwill (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R58.htm
Finite-Lived Intangible Assets (Detail),100580 - Disclosure - Finite-Lived Intangible Assets (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R59.htm
Intangible Assets - Additional Information (Detail),100590 - Disclosure - Intangible Assets - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R60.htm
Estimated Future Amortization Expense Related to Intangible Assets (Detail),100600 - Disclosure - Estimated Future Amortization Expense Related to Intangible Assets (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R61.htm
Debt (Detail),100610 - Disclosure - Debt (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R62.htm
Debt (Parenthetical) (Detail),100630 - Disclosure - Debt (Parenthetical) (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R63.htm
Debt - Additional Information (Detail),100640 - Disclosure - Debt - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R64.htm
Maturities of Long-term Debt Including Current Portion (Detail),100650 - Disclosure - Maturities of Long-term Debt Including Current Portion (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R65.htm
Income Taxes - Additional Information (Detail),100660 - Disclosure - Income Taxes - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R66.htm
Income Taxes - Additional Information Regarding Examinations (Detail),100670 - Disclosure - Income Taxes - Additional Information Regarding Examinations (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R67.htm
Unearned Revenue by Segment (Detail),100680 - Disclosure - Unearned Revenue by Segment (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R68.htm
Changes in Unearned Revenue (Detail),100690 - Disclosure - Changes in Unearned Revenue (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R69.htm
Unearned Revenue - Additional Information (Detail),100700 - Disclosure - Unearned Revenue - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R70.htm
Unearned Revenue - Remaining Performance Obligation - Additional Information (Detail),100710 - Disclosure - Unearned Revenue - Remaining Performance Obligation - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R71.htm
Leases - Additional Information (Detail),100720 - Disclosure - Leases - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R72.htm
Components of Lease Expense (Detail),100730 - Disclosure - Components of Lease Expense (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R73.htm
Supplemental Cash Flow Information Related to Leases (Detail),100740 - Disclosure - Supplemental Cash Flow Information Related to Leases (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R74.htm
Supplemental Balance Sheet Information Related to Leases (Detail),100750 - Disclosure - Supplemental Balance Sheet Information Related to Leases (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R75.htm
Maturities of Lease Liabilities (Detail),100760 - Disclosure - Maturities of Lease Liabilities (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R76.htm
Contingencies - Additional Information (Detail),100780 - Disclosure - Contingencies - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R77.htm
Stockholders' Equity - Additional Information (Detail),100790 - Disclosure - Stockholders' Equity - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R78.htm
Share Repurchases (Detail),100800 - Disclosure - Share Repurchases (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R79.htm
Dividends Declared (Detail),100810 - Disclosure - Dividends Declared (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R80.htm
Summary of Changes in Accumulated Other Comprehensive Income (Loss) by Component (Detail),100820 - Disclosure - Summary of Changes in Accumulated Other Comprehensive Income (Loss) by Component (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R81.htm
Summary of Changes in Accumulated Other Comprehensive Income (Loss) by Component (Parenthetical) (Detail),100830 - Disclosure - Summary of Changes in Accumulated Other Comprehensive Income (Loss) by Component (Parenthetical) (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R82.htm
Segment Revenue (Detail),100840 - Disclosure - Segment Revenue (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R83.htm
Operating Income (Loss) by Segment (Detail),100850 - Disclosure - Operating Income (Loss) by Segment (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R84.htm
Segment Information and Geographic Data - Additional Information (Detail),100860 - Disclosure - Segment Information and Geographic Data - Additional Information (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R85.htm
Revenue Classified by Major Geographic Areas (Detail),100870 - Disclosure - Revenue Classified by Major Geographic Areas (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R86.htm
Revenue Classified by Significant Product and Service Offerings (Detail),100880 - Disclosure - Revenue Classified by Significant Product and Service Offerings (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R87.htm
Revenue Classified by Significant Product and Service Offerings (Parenthetical) (Detail),100890 - Disclosure - Revenue Classified by Significant Product and Service Offerings (Parenthetical) (Detail),https://www.sec.gov/Archives/edgar/data/0000789019000156459021051992R88.htm
